Change component parameters: Designator = "U8" ("U8"); Footprint = "ESP-12F"; UniqueID = "\VDHBDWYO" ("\VDHBDWYO")
Change component parameters (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/ESP-12F/AI-Thinker/view-part/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "AI-Thinker"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "ESP-12F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "Package"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/ESP-12F/AI-Thinker/view-part/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "485-2491"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
